model,time,n_rep,bodysize_method,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
niche,G1,82,uniform,47,0.08012675418741512,3,0.8957694984616885,3.7215277777777778,2.0,1.4651283964920374,0.6532812668172189,2.7872340425531914,0.13580805794477138,0.06066093254866455,0.09597102761430512,0.33046627433227704
pfim_metaweb,G1,82,uniform,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,0.07650520597555455,0.19013128112267993,0.12992304210049796,0.9071978270710729
pfim_downsample,G1,82,uniform,47,0.09189678587596198,3,0.8969694837142006,2.1000000000000005,3.0,1.9841130042039596,0.550664657551229,3.3404255319148937,0.057039384336803986,0.09008601177003168,0.08918062471706655,0.7098234495246718
random,G1,82,uniform,47,0.16478044363965597,4,0.9275734039966509,-8.004384367507914e16,1.0,0.3754539910224443,0.3754539910224443,6.76595744680851,0.0,0.0,0.0,0.0
adbm,G2,82,uniform,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
bodymassratio,G2,82,uniform,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
lmatrix,G2,82,uniform,20,0.2075,2,0.8503206824166795,3.150700280112044,2.0,1.20931311575925,1.0755651651458997,3.2,0.04,0.255,0.545,0.67
niche,G2,82,uniform,19,0.11357340720221606,3,0.9257221953526626,3.670634920634921,2.0,1.0042213761968035,0.8356204980507054,1.2105263157894737,0.09418282548476455,0.0221606648199446,0.11634349030470914,0.16066481994459833
pfim_metaweb,G2,82,uniform,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,0.1875,0.2275,0.0,0.415
pfim_downsample,G2,82,uniform,20,0.1575,3,0.8255619841981952,3.1802884615384626,2.0,1.5832027278457412,0.6288346579284371,2.2,0.175,0.1875,0.0075,0.4025
random,G2,82,uniform,20,0.245,4,0.9069877712975154,5.926032451065564e16,1.0,0.302701979065129,0.302701979065129,3.95,0.0,0.0,0.0,0.0
adbm,G3,82,uniform,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
bodymassratio,G3,82,uniform,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
lmatrix,G3,82,uniform,28,0.20408163265306123,2,0.8119648760837188,3.056935064935066,2.0,1.154800768450911,1.1035716426088387,4.75,0.02806122448979592,0.31505102040816324,0.8507653061224489,0.9158163265306123
niche,G3,82,uniform,26,0.16420118343195267,4,0.8730422061180825,4.718730451950895,2.0,0.9121495939518975,0.8102139945639407,3.3076923076923075,0.20414201183431951,0.20562130177514792,0.2440828402366864,0.3106508875739645
pfim_metaweb,G3,82,uniform,28,0.13010204081632654,3,0.7906103358501839,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,0.1364795918367347,0.20918367346938777,0.02295918367346939,0.45408163265306123
pfim_downsample,G3,82,uniform,28,0.11479591836734694,3,0.8323862302772711,2.625311663126789,2.0,1.8028885018658354,0.7637416618316534,2.25,0.09438775510204081,0.16326530612244897,0.02806122448979592,0.42346938775510207
random,G3,82,uniform,28,0.26785714285714285,3,0.9188725742591344,1.0814240890180872e19,1.0,0.35462842084698737,0.35462842084698737,6.535714285714286,0.0,0.0,0.0,0.0
